,sair_adi,baslik,siir_link,siir
0,Özdemir Asaf,Aşk,https://www.antoloji.com/ask-14-siiri/,"Sen kocaman çöllerde bir kalabalık gibisin, Kocaman denizlerde ender bir balık gibisin. Bir ısıtır, bir üşütür, bir ağlatır bir güldürür;  Sen hem bir hastalık hem de sağlık gibisin.   Özdemir AsafKayıt Tarihi : 9.10.2000 10:54:00"
1,Ataol Behramoğlu,Aşk İki Kişiliktir,https://www.antoloji.com/ask-iki-kisiliktir-siiri/,"Değişir rüzgarın yönü,  Solar ansızın yapraklar;  Şaşırır yolunu denizde gemi,  Boşuna bir liman arar. Gülüşü bir yabancının,  Çalmıştır senden sevdiğini;  İçinde biriken zehir,  Sadece kendini öldürecektir;  Ölümdür yaşanan tek başına Aşk iki kişiliktir.Bir anı bile kalmamıştır,  Geceler boyu sev....................   Ataol BehramoğluKayıt Tarihi : 1.7.2000 17:13:00"
2,Cemal Süreya,Aşk,https://www.antoloji.com/ask-2-siiri/,Şimdi sen kalkıp gidiyorsun. Git  Gözlerin durur mu onlar da gidiyorlar. Gitsinler. Oysa ben senin gözlerinsiz edemem bilirsin  Oysa Allah bilir bugün iyi uyanmıştık  Sevgideydi ilk açılışı gözlerimizin sırf onaydı  Bir kuş konmuş parmaklarıma uzun uzun ötmüştü  Bir sevişmek gelmiş bir daha gitmemişti  Yoktu dünlerde evelsi gün....................   Cemal SüreyaKayıt Tarihi : 1.7.2000 17:14:00
3,Ümit Yaşar Oğuzcan,Aşk Başlamadan Güzel,https://www.antoloji.com/ask-baslamadan-guzel-siiri/,"Aşk başlamadan güzel, Kalplerde heyecan Bakışlarda korku olduğu za....................   Ümit Yaşar OğuzcanKayıt Tarihi : 12.4.2001 23:33:00"
4,Louis Aragon,Mutlu Aşk Yoktur,https://www.antoloji.com/mutlu-ask-yoktur-siiri/,İnsan her şeyi elinde tutamaz hiç bir zaman  Ne gücünü ne güçsüzlüğünü ne de yüreğini Ve açtım derken kollarını bir haç olur gölgesi  Ve sarıldım derken mutluluğuna parçalar o şeyi Hayatı garip ve acı dolu bir ayrılıktır her an  Mutlu aşk yoktur Hayatı Bu silahsız askerlere benzer  Bir başka kader için giyinip kuşanan  Ne yarar var onlara sabah erken kalkmaktan  Onlar ki akşamları aylak kararsız insan  Söyle bunları Hayatım Ve bunca gözyaşı yeter  Mutlu aşk yoktur Güzel aşkım tatlı aşkım kanayan yaram benim  İçimde taşırım seni yaralı bir kuş gibi  Ve onlar bilmeden izler geçiyorken bizleri  Ardımdan tekrarlayıp ördüğüm sözcükleri  Ve hemen can verdiler iri gözlerin için  Mutlu aşk yoktur Vakit çok geç artık hayatı öğrenmeye  Yüreklerimiz birlikte ağlasın sabaha dek  En küçük şarkı için nice mutsuzluk gerek  Bir ürperişi nice pişmanlıkla ödemek  Nice hıçkırık gerek bir gitar ezgisine  Mutlu aşk yoktur Bir tek aşk yoktur acıya garketmesin  Bir tek aşk yoktur kalpte açmasın yara  Bir tek aşk yoktur iz bırakmasın insanda  Ve senden daha fazla değil vatan aşkı da  Bir tek aşk yok yaşayan gözyaşı dökmeksizin  Mutlu aşk yoktur ama  Böyledir ikimizin aşkı da   Louis AragonKayıt Tarihi : 25.6.2000 19:03:00
5,Ahmet Telli,Aşk Bitti,https://www.antoloji.com/ask-bitti-siiri/,"F.E.S. ve öbürleri için Bir aşk nasıl biterse öyle bitti bu aşk da        Uzun bir hastalık gibi        Aralıksız dinlediğim alaturka bir fasıl gibi        Gökyüzüne bakmayı, dostlara mektup yazmayı        Çiçekleri sulamayı unutmuşluğum gibi  Bitti.  Bir aşk nasıl biterse öyle bitti bu aşk da  Yürümeyi yeniden öğrenen felçli bir çocuk gibi  Sokağa çıkmalıyım şimdi ve çoktandır  İhmal ettiğim dostlara yeni bir adres bırakmalıyım  Pencereleri açmalı, kitapları düzenlemeliyim  Belki bir yağmur yağar akşama doğru  Yarıda bıraktığım şiirleri tamamlarım  Aşk da bitti diyordu ya bir şair  Aşk bitti işte tam da öyle   Ahmet TelliKayıt Tarihi : 13.6.2000 08:34:00"
6,Ataol Behramoğlu,Bu Aşk Burada Biter,https://www.antoloji.com/bu-ask-burada-biter-siiri/,Bu aşk burada biter ve ben çekip giderim Yüreğimde bir çocuk cebimde bir revolver Bu aşk burda biter iyi günler sevgilim Ve ben çekip giderim bir nehir akıp giderBir hatıradır şimdi dalgın uyuyan ....................   Ataol BehramoğluKayıt Tarihi : 10.10.2000 02:52:00
7,Necip Fazıl Kısakürek,Aşk Ve Korku,https://www.antoloji.com/ask-ve-korku-siiri/,"Aşk korkuya peçedir, korku da aşka perde, Allah'tan nasıl korkmaz, insan Onu sever de...   Necip Fazıl KısakürekKayıt Tarihi : 19.8.2000 16:48:00"
8,Erdem Bayazıt,Aşk Risalesi,https://www.antoloji.com/ask-risalesi-siiri/,"Ama sen uzaklardaydın ey kalbim Uzaklardaydın, sevdiğim uzaklardaydı Ayın yıldızların çağlayarak  Berrak şelaler yaparak Coşku içinde aktığı  Bir yerlerdeydi.Hani bir gün bir çobana rastlamıştık Adı Ferhat mıydı neydi Koyunların, kuşların, böceklerin ve çiçeklerin Sadakatten mest oldukları Herbirinin gözlerinde Kaybolur gibi kayar gibi Dalıp gittiğimiz o saadet evreni Kayaların yüzlerinden okuduğumuz o ebedi bilinç Bizi çekip almıştı kılcal damarlarımızdanYaslan göğsüme sevdiğim Benim gönlüm gök gibidir açık deniz gibidir Pas tutmaz benim içim yeryüzü gibidir Toprak gibidir Sen ki bulut gibisin Ay gibisin güneş gibi bazenUsul usul inen Yağmur tıpırtılarını Dinler gibi Dalıp gitmiştik Sen konuşuyordun İpil ipil yağan bir yağmur gibi konuşuyordun Onlar ki konuklarımızdı Adları Keremdi,Yusuftu, Kaystı Hepside ezelden tanıdıktı dosttu.   Erdem BayazıtKayıt Tarihi : 18.11.2000 00:05:00"
9,Abdurrahim Karakoç,Aşk Hikayesi,https://www.antoloji.com/ask-hikayesi-siiri/,"Başımdan bir kova sevda döküldü Islanmadım, üşümedim, yandım oy!  İplik iplik damarlarım söküldü Kurşun yemiş güvercine döndüm oy! Yağmur yorgan oldu, döşek kar bana Anladım ki kendi gönlüm dar bana Alev dolu bardakları yâr bana Sunuverdi içtim içtim kandım oy! Sevgi ektim, naz biçmeye çalıştım Ne zamana, ne kendime alıştım Kırk senede yedi hasret bölüştüm Yedi dünya bana düştü sandım oy! Gönül şahinimi yordum gerçeğe Sonsuzda yüzümü sürdüm gerçeğe Teselliden kanat kırdım gerçeğe Tecellinin sinesine kondum oy! (Yasaklı Rüyalar)   Abdurrahim KarakoçKayıt Tarihi : 29.1.2002 09:51:00"
